Order,AIC,BIC
0,-90.64556767575776,-90.6419484725986
1,-99.11497221115808,-99.05706350509438
2,-101.51873638384414,-101.40653544563133
3,-101.74338720872375,-101.57689130889949
4,-101.96514573305761,-101.7443521419418
5,-102.08025818446853,-101.80516417216329
6,-102.20599498318494,-101.87659781957451
7,-102.354122509376,-101.97041946412683
8,-102.48841030831403,-102.05039865087468
9,-102.64344553180007,-102.15112253140121
10,-102.83696355568273,-102.29032648133712
11,-103.04587088200945,-102.44491700251189
12,-103.50912852815912,-102.85385511208646
13,-104.3926671540236,-103.68307146973471
14,-104.57953708551375,-103.81561640114948
15,-104.69463392886888,-103.87638551235204
16,-104.7907882137437,-103.91820933277904
17,-104.87316359644623,-103.94625151852046
18,-104.94710657667146,-103.96585856905311
19,-105.02962677669474,-103.99404010643428
20,-105.11012512361047,-104.02019705754019
21,-105.19173807662041,-104.0474658813544
22,-105.29113869689053,-104.09251963882471
23,-105.60178014043566,-104.34881148574772
24,-106.13510966491772,-104.8277886795671
25,-106.56221080061027,-105.20053475033814
26,-106.62310465836961,-105.20707080869884
27,-106.63222230297377,-105.16182791920892
28,-106.63414091765812,-105.10938326488538
29,-106.63382367248676,-105.05470001557399
30,-106.63343613498704,-104.9999437385837
31,-106.63756659372908,-104.9497027222662
32,-106.64090623760289,-104.89866815529308
33,-106.64458849536723,-104.84797346620464
34,-106.65246480580095,-104.80147009356122
35,-106.658803158249,-104.75342602648928
36,-106.66828260465645,-104.70852031671537
37,-106.68504691101433,-104.67089673001193
38,-106.69149040873852,-104.6229495975763
39,-106.69217951623958,-104.56924533760039
40,-106.69952977107934,-104.52219948742744
41,-106.70616338023507,-104.47443425381607
42,-106.7141430328345,-104.4280123256753
43,-106.72191978057522,-104.38138475448405
44,-106.72794711591544,-104.33300503248182
45,-106.73299938211352,-104.28364750270818
46,-106.73843400237409,-104.23466958814902
47,-106.77273433248868,-104.21455464437707
48,-106.85182315664143,-104.23922545535764
49,-106.93513599018615,-104.26811753622573
50,-106.95146950603586,-104.23002755967546
51,-106.95138824746974,-104.17552006876716
52,-106.9497028869775,-104.11940573577158
53,-106.94477144769318,-104.06004258360386
54,-106.94482116314242,-104.00565784557065
55,-106.94651733314073,-103.9529168212685
56,-106.94504592445931,-103.89700547724959
57,-106.94450868685223,-103.84202556304898
58,-106.94354775773563,-103.78661921586372
59,-106.94207143226348,-103.73069473062871
60,-106.94271644965377,-103.67688884634286
61,-106.94570681983636,-103.62542557271688
62,-106.94681705007112,-103.5720794167915
63,-106.94795795743613,-103.51876119542563
64,-106.94974407336775,-103.4660854398364
65,-106.95049977478925,-103.41237652672788
66,-106.95067888214305,-103.35808827632326
67,-106.94977804860696,-103.30271734158104
68,-106.9475533408515,-103.2460197889525
69,-106.94761581769164,-103.19160667703323
70,-106.94840880460578,-103.13792133108232
71,-106.95988758679755,-103.09491903608406
72,-107.00424106907941,-103.08478869663148
73,-107.03861977372493,-103.06468083477876
74,-107.04031695439981,-103.01188870397212
75,-107.03663114315128,-102.95371083603939
76,-107.03130787258337,-102.89389276336509
77,-107.02544080632592,-102.83352814935954
78,-107.02054177648996,-102.77412882591425
79,-107.01861378882863,-102.71769779856278
80,-107.01357732359777,-102.65815554734144
81,-107.00911752553137,-102.59918721676456
82,-107.00644986061661,-102.54200827259973
83,-107.00162013917506,-102.48266452494885
84,-106.99899695314906,-102.4255245655346
85,-106.99765030845087,-102.3696584000495
86,-106.99525933150788,-102.31274515470126
87,-106.99135051540412,-102.25431132235414
88,-106.98944363065573,-102.19787667330452
89,-106.98857971637358,-102.14248224644348
90,-106.98581632897078,-102.0851855979643
